# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 51 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4897537000e+03    2.0195051000e-03
2.4897108000e+03    3.1700000000e-07
2.4889249000e+03    2.6765000000e-05
2.4886580000e+03    5.5343000000e-06
2.4882586000e+03    2.2375000000e-04
2.4879279000e+03    5.3562000000e-06
2.4863594000e+03    8.1910000000e-06
2.4863014000e+03    4.1429960000e-04
2.4858536000e+03    1.5167810000e-04
2.4858508000e+03    1.6689891000e-03
2.4857986000e+03    6.6209620000e-04
2.4857529000e+03    1.2628212000e-03
2.4844590000e+03    1.5092193000e-03
2.4843432000e+03    1.5464409000e-03
2.4842539000e+03    1.2241406000e-03
2.4841023000e+03    2.8053070000e-04
2.4838381000e+03    1.1000000000e-09
2.4835733000e+03    7.8784530000e-04
2.4832768000e+03    3.5933110000e-04
2.4826108000e+03    1.7438350000e-04
2.4821301000e+03    6.4069260000e-04
2.4815209000e+03    4.9289300000e-05
2.4796941000e+03    5.9696200000e-05
2.4795896000e+03    1.2065500000e-05
2.4795281000e+03    3.3700980000e-04
2.4782255000e+03    4.9899000000e-06
2.4768384000e+03    3.0232830000e-04
2.4757515000e+03    5.0236600000e-05
2.4750236000e+03    7.1558100000e-05
2.4744385000e+03    1.1022840000e-04
2.4737241000e+03    1.9568140000e-04
2.4720993000e+03    1.7474900000e-05
2.4711759000e+03    1.4446370000e-04
2.4681493000e+03    4.6175480000e-04
2.3172916000e+03    8.9287001800e-02
2.3172178000e+03    8.9454224200e-02
2.3172017000e+03    8.9842152300e-02
2.2671232000e+03    3.2024000000e-06
2.2176466000e+03    0.0000000000e+00
2.2176466000e+03    0.0000000000e+00
2.2175302000e+03    0.0000000000e+00
2.2175302000e+03    0.0000000000e+00
2.2175127000e+03    0.0000000000e+00
2.2175126000e+03    0.0000000000e+00
2.2175085000e+03    0.0000000000e+00
2.2175085000e+03    0.0000000000e+00
2.2171637000e+03    0.0000000000e+00
2.2171543000e+03    0.0000000000e+00
2.2168997000e+03    2.0000000000e-10
2.2168996000e+03    3.0000000000e-10
1.9739695000e+03    0.0000000000e+00
