# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4219584000e+03    2.4135012000e-03
2.4224114000e+03    4.2573787000e-03
2.4231040000e+03    1.9828862000e-03
2.4243578000e+03    2.0047944000e-03
2.4249899000e+03    8.1408850000e-04
2.4258771000e+03    7.7270500000e-05
2.4259852000e+03    2.8854600000e-04
2.4264077000e+03    2.2623590000e-04
2.4266816000e+03    6.9078000000e-05
2.4274814000e+03    3.9235800000e-04
2.4276620000e+03    2.6894140000e-04
2.4286569000e+03    1.6090233000e-03
2.4288844000e+03    2.0898342000e-03
2.4291180000e+03    3.1089060000e-04
2.4298714000e+03    9.6747100000e-04
2.4301120000e+03    9.5707730000e-04
2.4307388000e+03    7.4069780000e-04
2.4317545000e+03    1.5700400000e-03
2.4321252000e+03    4.8236970000e-04
2.4325546000e+03    1.2843065000e-03
2.4332913000e+03    7.6064000000e-06
2.4335517000e+03    4.4862800000e-04
2.4341713000e+03    6.5849540000e-04
2.4349650000e+03    9.0908200000e-05
2.4351489000e+03    1.1143990000e-04
2.4361988000e+03    1.9524950000e-04
2.4362336000e+03    4.7453840000e-04
2.4374219000e+03    1.1935487000e-03
2.4376344000e+03    4.4139620000e-04
2.4384373000e+03    6.9049030000e-04
2.4386023000e+03    5.5545500000e-04
2.4390019000e+03    5.0286360000e-04
2.4391530000e+03    2.2140770000e-04
2.4393323000e+03    3.0039300000e-05
2.4395478000e+03    6.2157800000e-05
2.4399729000e+03    3.8782400000e-05
2.4402340000e+03    2.7615560000e-04
2.4405682000e+03    2.1946490000e-04
2.4412005000e+03    1.4634720000e-04
2.4415484000e+03    1.8382050000e-04
2.4426670000e+03    2.6654210000e-04
2.4438065000e+03    8.4320200000e-05
2.4452052000e+03    1.1076920000e-04
2.4461674000e+03    5.9220470000e-04
2.4465807000e+03    3.2913170000e-04
2.4480267000e+03    4.9640600000e-05
2.4484168000e+03    3.3526560000e-04
2.4487776000e+03    2.3489210000e-04
2.4492773000e+03    1.0903320000e-04
2.4495983000e+03    6.4460200000e-05
