# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4240615000e+03    1.0117821000e-03
2.4241458000e+03    6.2395330000e-04
2.4252903000e+03    2.6299000000e-05
2.4259140000e+03    3.8986126000e-03
2.4264316000e+03    1.0269789000e-03
2.4269064000e+03    4.6109189000e-03
2.4275562000e+03    3.0203534000e-03
2.4278315000e+03    2.8705080000e-04
2.4282329000e+03    1.2151232000e-03
2.4284357000e+03    4.0756800000e-05
2.4285312000e+03    1.2621310000e-04
2.4289444000e+03    8.5202100000e-05
2.4296753000e+03    4.2857030000e-04
2.4297332000e+03    2.4247690000e-04
2.4297358000e+03    5.9670400000e-05
2.4301371000e+03    1.2188600000e-04
2.4317748000e+03    4.6646100000e-05
2.4321557000e+03    1.5743997000e-03
2.4325724000e+03    1.6910784000e-03
2.4327699000e+03    2.6437000000e-05
2.4330004000e+03    9.7937070000e-04
2.4331481000e+03    6.8040570000e-04
2.4336787000e+03    2.6362400000e-05
2.4339561000e+03    8.9177790000e-04
2.4341955000e+03    2.1313400000e-05
2.4345308000e+03    2.4812950000e-04
2.4351945000e+03    5.0767000000e-06
2.4353194000e+03    2.6273520000e-04
2.4360356000e+03    4.6364800000e-05
2.4365679000e+03    2.9767000000e-06
2.4366674000e+03    3.1347000000e-06
2.4370240000e+03    8.2743100000e-05
2.4370911000e+03    9.8399000000e-06
2.4371769000e+03    6.7809100000e-05
2.4376178000e+03    8.5739990000e-04
2.4377931000e+03    1.3235600000e-04
2.4379044000e+03    1.5739110000e-04
2.4381360000e+03    5.4376910000e-04
2.4387156000e+03    3.9836640000e-04
2.4390645000e+03    7.5246200000e-05
2.4398154000e+03    6.0850830000e-04
2.4400811000e+03    2.0893930000e-04
2.4401253000e+03    6.1587850000e-04
2.4405247000e+03    1.0249623000e-03
2.4410406000e+03    2.3733827000e-03
2.4412870000e+03    1.1202146000e-03
2.4415823000e+03    5.8004110000e-04
2.4417569000e+03    2.4246080000e-04
2.4419132000e+03    1.7121540000e-04
2.4424860000e+03    2.4746170000e-04
