# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 70 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4901170000e+03    3.8602000000e-06
2.4900168000e+03    8.7254250000e-04
2.4893343000e+03    3.1471500000e-05
2.4892176000e+03    1.5314430000e-04
2.4889990000e+03    1.6747676000e-03
2.4884520000e+03    3.1881900000e-05
2.4883128000e+03    3.0747190000e-04
2.4876898000e+03    7.5563400000e-05
2.4874212000e+03    1.1409000000e-06
2.4870437000e+03    2.3902600000e-05
2.4867869000e+03    1.0620000000e-07
2.4858341000e+03    6.1926340000e-04
2.4857659000e+03    2.2275418000e-03
2.4855382000e+03    2.8450990000e-04
2.4854330000e+03    1.1105770000e-04
2.4853144000e+03    1.3571200000e-05
2.4850789000e+03    1.8368400000e-05
2.4848968000e+03    5.7738920000e-04
2.4848337000e+03    4.6447910000e-04
2.4845977000e+03    3.8470580000e-04
2.4843738000e+03    6.1919880000e-04
2.4842296000e+03    9.6176820000e-04
2.4839545000e+03    6.0362000000e-04
2.4838082000e+03    4.3716820000e-04
2.4834833000e+03    1.2853500000e-04
2.4832960000e+03    8.2764000000e-04
2.4830001000e+03    1.2661620000e-04
2.4827330000e+03    1.2991362000e-03
2.4824479000e+03    5.4476520000e-04
2.4811510000e+03    1.1026600000e-05
2.4808689000e+03    2.8608700000e-05
2.4803050000e+03    6.9678400000e-05
2.4802058000e+03    1.2781640000e-04
2.4792053000e+03    5.5552000000e-06
2.4789175000e+03    9.3189000000e-06
2.4787143000e+03    3.3704100000e-05
2.4775659000e+03    9.0217000000e-05
2.4770753000e+03    3.2766800000e-05
2.4766069000e+03    9.6162100000e-05
2.4751235000e+03    1.3942870000e-04
2.4741360000e+03    1.3126760000e-04
2.4734048000e+03    3.0513940000e-04
2.4723240000e+03    1.1860000000e-07
2.4716332000e+03    6.9534000000e-06
2.4715987000e+03    1.1393000000e-05
2.4704216000e+03    8.4244000000e-06
2.4683723000e+03    8.5351000000e-06
2.4677591000e+03    4.2149130000e-04
2.4676291000e+03    4.2266700000e-05
2.3171886000e+03    8.9122405400e-02
2.3171265000e+03    8.9888262600e-02
2.3171039000e+03    8.9337226600e-02
2.2670117000e+03    2.7506000000e-06
2.2182228000e+03    0.0000000000e+00
2.2181720000e+03    0.0000000000e+00
2.2174427000e+03    0.0000000000e+00
2.2171288000e+03    0.0000000000e+00
2.2167747000e+03    0.0000000000e+00
2.2166492000e+03    0.0000000000e+00
2.2165174000e+03    0.0000000000e+00
2.2162746000e+03    1.0000000000e-10
2.2161505000e+03    1.0000000000e-10
2.2154680000e+03    0.0000000000e+00
2.1061440000e+03    0.0000000000e+00
2.1058638000e+03    0.0000000000e+00
2.1054664000e+03    0.0000000000e+00
2.1046189000e+03    0.0000000000e+00
2.1035625000e+03    0.0000000000e+00
2.1031908000e+03    0.0000000000e+00
1.9734902000e+03    0.0000000000e+00
