# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4197470000e+03    3.8976985000e-03
2.4207848000e+03    2.2877391000e-03
2.4224739000e+03    3.4378970000e-04
2.4227754000e+03    1.1201990000e-04
2.4229713000e+03    1.1928710000e-04
2.4230788000e+03    1.0357090000e-04
2.4236113000e+03    1.1647800000e-05
2.4238262000e+03    6.2252000000e-06
2.4240210000e+03    7.3280300000e-05
2.4243268000e+03    4.6937800000e-05
2.4244767000e+03    2.9671030000e-04
2.4245754000e+03    4.1753000000e-06
2.4249139000e+03    2.8554800000e-05
2.4251543000e+03    4.6680100000e-05
2.4253098000e+03    4.5407640000e-04
2.4255938000e+03    4.4627130000e-04
2.4258498000e+03    3.4483500000e-05
2.4259745000e+03    1.8040130000e-04
2.4260407000e+03    2.9654640000e-04
2.4263583000e+03    2.5761130000e-04
2.4265362000e+03    2.3389000000e-04
2.4266791000e+03    5.0652360000e-04
2.4267104000e+03    8.3324990000e-04
2.4268649000e+03    1.8288534000e-03
2.4269982000e+03    6.0648780000e-04
2.4272859000e+03    1.2656513000e-03
2.4276988000e+03    6.8438100000e-04
2.4278614000e+03    3.6508668000e-03
2.4280520000e+03    3.7472330000e-04
2.4280783000e+03    1.4102150000e-04
2.4288460000e+03    2.9749340000e-04
2.4291392000e+03    3.8787300000e-05
2.4292892000e+03    1.1130270000e-04
2.4299861000e+03    7.1240440000e-04
2.4302746000e+03    2.0571260000e-04
2.4308565000e+03    7.0548410000e-04
2.4310645000e+03    2.9720620000e-04
2.4317328000e+03    8.1931900000e-05
2.4318636000e+03    1.1589280000e-04
2.4321222000e+03    5.2468400000e-05
2.4325200000e+03    7.0619000000e-06
2.4327481000e+03    2.4680820000e-04
2.4329417000e+03    2.1708910000e-04
2.4329827000e+03    9.8025000000e-06
2.4337410000e+03    1.0448150000e-04
2.4340416000e+03    7.5121200000e-05
2.4341783000e+03    1.4223200000e-05
2.4344290000e+03    3.1807300000e-05
2.4352118000e+03    1.6948700000e-05
2.4356852000e+03    5.4857200000e-05
