# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4241911000e+03    1.4726330000e-03
2.4255190000e+03    1.8326610000e-04
2.4256032000e+03    1.5391450000e-04
2.4260051000e+03    1.6196731000e-03
2.4262289000e+03    2.9059305000e-03
2.4263996000e+03    4.1741760000e-03
2.4269527000e+03    3.6796088000e-03
2.4273537000e+03    2.2037680000e-04
2.4277839000e+03    7.0667500000e-05
2.4281130000e+03    1.8929480000e-04
2.4284898000e+03    2.4246200000e-05
2.4286211000e+03    2.1986400000e-05
2.4287988000e+03    5.9187700000e-05
2.4289153000e+03    2.4926120000e-04
2.4290699000e+03    9.2710000000e-07
2.4293632000e+03    1.7100430000e-04
2.4295635000e+03    5.8319770000e-04
2.4298027000e+03    4.3524770000e-04
2.4299248000e+03    2.6627960000e-04
2.4301432000e+03    5.1073600000e-05
2.4302283000e+03    8.3844400000e-05
2.4308432000e+03    2.9978000000e-05
2.4311974000e+03    2.1152130000e-04
2.4316393000e+03    1.5938580000e-04
2.4316922000e+03    1.8000730000e-04
2.4317522000e+03    8.7457800000e-05
2.4320629000e+03    6.0707970000e-04
2.4322254000e+03    7.0949630000e-04
2.4322799000e+03    4.2903790000e-04
2.4326550000e+03    4.2718810000e-04
2.4330543000e+03    7.9259480000e-04
2.4336710000e+03    3.6162250000e-04
2.4339042000e+03    2.1664100000e-04
2.4340662000e+03    5.2877600000e-05
2.4341652000e+03    5.4451500000e-05
2.4342874000e+03    3.0422130000e-04
2.4344010000e+03    1.5703020000e-04
2.4347191000e+03    3.0873500000e-05
2.4348540000e+03    2.6349000000e-06
2.4351031000e+03    2.1955830000e-04
2.4351738000e+03    5.2744110000e-04
2.4355079000e+03    5.3407870000e-04
2.4359387000e+03    7.3490550000e-04
2.4360334000e+03    7.6792200000e-05
2.4364431000e+03    3.2891720000e-04
2.4365580000e+03    2.2835570000e-04
2.4370534000e+03    1.4776900000e-05
2.4372896000e+03    2.8519780000e-04
2.4374106000e+03    3.5132860000e-04
2.4376961000e+03    1.0351127000e-03
