# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 74 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
1.3368539500e+04    4.6942535200e-02
1.3368130300e+04    2.5311725000e-03
1.3367670300e+04    6.0425969000e-03
1.3367583200e+04    8.1811212900e-02
1.3367327000e+04    8.5244778300e-02
1.3367266100e+04    2.7517300000e-05
1.3366924300e+04    5.4247183600e-02
1.3366571900e+04    6.1461566000e-02
1.3366571800e+04    9.2388347900e-02
1.3365761500e+04    4.9774129110e-01
1.3365423400e+04    2.7757016530e-01
1.3364833600e+04    2.7379243000e-03
1.3364358000e+04    1.3395486300e-01
1.3363961300e+04    5.6959571300e-02
1.3363549900e+04    2.5194169000e-03
1.3362991100e+04    8.3187626400e-02
1.3362859100e+04    8.5580275000e-03
1.3362767600e+04    3.4563976000e-03
1.3362605500e+04    4.1501651200e-02
1.3361910100e+04    7.5156419000e-03
1.3361198400e+04    6.1743133200e-02
1.3359900300e+04    7.8887428000e-03
1.3359237900e+04    1.5394781600e-02
1.3357324600e+04    3.0616716000e-03
1.3356423100e+04    3.3725513000e-03
1.3354106400e+04    1.6145780000e-04
1.3353401500e+04    7.7659000000e-06
1.3351412500e+04    6.9097779000e-03
1.3350117800e+04    3.5555900000e-03
1.3347985800e+04    1.3490000000e-06
1.3347746200e+04    3.8700000000e-07
1.3345345300e+04    2.2808600000e-05
1.3345138200e+04    4.2361900000e-05
1.3303293200e+04    2.0000000000e-10
1.3303292200e+04    0.0000000000e+00
1.3302981600e+04    3.0000000000e-10
1.3302946500e+04    1.0000000000e-10
1.3302844000e+04    0.0000000000e+00
1.3296200800e+04    1.7490900000e-05
1.3296200600e+04    1.7472700000e-05
1.3295917700e+04    3.6310600000e-05
1.3295910300e+04    3.4671900000e-05
1.3295807500e+04    2.2912900000e-05
1.3209886300e+04    0.0000000000e+00
1.3209846300e+04    0.0000000000e+00
1.3209784600e+04    0.0000000000e+00
1.3196656900e+04    0.0000000000e+00
1.3196611900e+04    0.0000000000e+00
1.3196228600e+04    0.0000000000e+00
1.3186984200e+04    7.5533010068e+00
1.3186975300e+04    7.0887758661e+00
1.3186630600e+04    4.2684074204e+00
1.3153687300e+04    2.0000000000e-10
1.3136744900e+04    1.0000000000e-10
1.3128835300e+04    8.8781000000e-05
1.3095729200e+04    0.0000000000e+00
1.3095376300e+04    2.0000000000e-10
1.3094650900e+04    3.6000000000e-09
1.3094634200e+04    1.0000000000e-10
1.3094085700e+04    0.0000000000e+00
1.2853952300e+04    1.0000000000e-10
1.2853292600e+04    2.0000000000e-10
1.2853292400e+04    1.0000000000e-10
1.2852564700e+04    0.0000000000e+00
1.1840428600e+04    0.0000000000e+00
1.1840413300e+04    0.0000000000e+00
1.1840299700e+04    0.0000000000e+00
1.1770062500e+04    5.4415999180e+01
1.1770060800e+04    5.1077668447e+01
1.1769987800e+04    3.0730867156e+01
1.1671012700e+04    0.0000000000e+00
1.1623375200e+04    8.2818000000e-06
1.0948371300e+04    0.0000000000e+00
2.2590580000e+02    0.0000000000e+00
