# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4206621000e+03    6.0226749000e-03
2.4226358000e+03    4.9235669600e-02
2.4229892000e+03    1.5670644800e-02
2.4237366000e+03    2.8178173300e-02
2.4244489000e+03    1.3576600800e-02
2.4250097000e+03    1.4421650300e-02
2.4258960000e+03    1.2258543400e-02
2.4264206000e+03    2.0918808000e-03
2.4264605000e+03    2.9328334000e-03
2.4266196000e+03    5.1148432000e-03
2.4266671000e+03    6.6516630000e-04
2.4273598000e+03    1.7838781000e-03
2.4281292000e+03    2.8578560000e-03
2.4288655000e+03    1.0333971500e-02
2.4291693000e+03    1.2366181600e-02
2.4298733000e+03    1.9627653900e-02
2.4307910000e+03    7.5752765000e-03
2.4311716000e+03    2.5203260400e-02
2.4314236000e+03    1.0427770700e-02
2.4316708000e+03    3.8474017000e-03
2.4321597000e+03    3.8512035000e-03
2.4326395000e+03    7.4564075000e-03
2.4336092000e+03    3.6903226000e-03
2.4342661000e+03    1.6395017000e-03
2.4346809000e+03    3.1637290000e-04
2.4349846000e+03    1.7985696000e-03
2.4353713000e+03    5.8864331000e-03
2.4356899000e+03    1.6069569000e-02
2.4361247000e+03    3.1354020000e-04
2.4363562000e+03    6.6968703000e-03
2.4370749000e+03    3.4704581000e-03
2.4374364000e+03    2.5633974000e-03
2.4378782000e+03    2.6783519000e-03
2.4381778000e+03    3.5260907000e-03
2.4383437000e+03    8.1701638000e-03
2.4389998000e+03    6.5406029000e-03
2.4391649000e+03    8.9363200000e-04
2.4396874000e+03    7.3281905000e-03
2.4397577000e+03    1.6530817000e-03
2.4400367000e+03    4.6035056000e-03
2.4407105000e+03    8.6760610000e-04
2.4410942000e+03    2.2429098000e-03
2.4417932000e+03    1.3424909000e-03
2.4420330000e+03    2.8201891000e-03
2.4427656000e+03    1.6385019000e-03
2.4437178000e+03    2.0924084000e-03
2.4442328000e+03    4.7241720000e-04
2.4445790000e+03    1.0699978000e-03
2.4459057000e+03    1.2180380000e-04
2.4462250000e+03    1.3769702000e-03
