# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4196579000e+03    3.9573165000e-03
2.4208227000e+03    2.3185393000e-03
2.4224629000e+03    1.9272340000e-04
2.4228994000e+03    1.0186480000e-04
2.4230263000e+03    2.1035300000e-05
2.4232331000e+03    1.2448330000e-04
2.4239603000e+03    5.9085300000e-05
2.4241084000e+03    2.3616890000e-04
2.4244418000e+03    1.4422690000e-04
2.4247056000e+03    1.9022200000e-04
2.4252043000e+03    2.9858560000e-04
2.4252604000e+03    7.6650200000e-05
2.4253075000e+03    1.6870660000e-04
2.4255891000e+03    6.4052070000e-04
2.4257905000e+03    4.9133210000e-04
2.4262400000e+03    1.0415098000e-03
2.4266688000e+03    1.1009211000e-03
2.4268701000e+03    1.2001278000e-03
2.4270573000e+03    6.3242470000e-04
2.4273774000e+03    9.3322210000e-04
2.4274651000e+03    2.6408232000e-03
2.4279749000e+03    1.3425743000e-03
2.4288981000e+03    1.2721764000e-03
2.4292665000e+03    1.3703620000e-04
2.4294067000e+03    6.4607200000e-05
2.4298954000e+03    3.3328370000e-04
2.4302423000e+03    9.6457000000e-06
2.4305930000e+03    1.5534561000e-03
2.4309644000e+03    2.1188850000e-04
2.4318030000e+03    1.1060000000e-05
2.4320858000e+03    5.4928690000e-04
2.4326858000e+03    2.8352100000e-05
2.4334698000e+03    3.5721800000e-04
2.4344311000e+03    6.4151000000e-05
2.4356555000e+03    1.3507000000e-06
2.4360849000e+03    2.3095870000e-04
2.4362759000e+03    6.2250100000e-05
2.4365041000e+03    2.0737600000e-05
2.4367337000e+03    9.4890700000e-05
2.4371616000e+03    1.8001290000e-04
2.4373416000e+03    6.5205000000e-05
2.4375154000e+03    3.2397180000e-04
2.4376019000e+03    1.4287510000e-04
2.4378504000e+03    8.4440400000e-05
2.4379926000e+03    2.6330400000e-05
2.4381157000e+03    2.4066500000e-05
2.4381791000e+03    3.5766600000e-05
2.4384263000e+03    7.9129000000e-06
2.4385096000e+03    9.1370500000e-05
2.4389888000e+03    1.3360100000e-05
