# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 51 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4920575000e+03    4.8164100000e-05
2.4915530000e+03    6.5300000000e-08
2.4914196000e+03    2.0021000000e-06
2.4907253000e+03    3.2753770000e-04
2.4900837000e+03    1.8837800000e-05
2.4896985000e+03    5.2500000000e-08
2.4895799000e+03    1.7300000000e-04
2.4892371000e+03    1.7590000000e-07
2.4890512000e+03    3.8776000000e-06
2.4885860000e+03    4.2363400000e-04
2.4883937000e+03    9.2115100000e-05
2.4881835000e+03    8.6880000000e-07
2.4875851000e+03    5.6794400000e-05
2.4873020000e+03    3.3719300000e-04
2.4869056000e+03    3.6870000000e-07
2.4865140000e+03    5.4688660000e-04
2.4864349000e+03    1.7528290000e-03
2.4861902000e+03    1.9844270000e-04
2.4859053000e+03    1.6105560000e-04
2.4856989000e+03    2.0317673000e-03
2.4853032000e+03    9.9245360000e-04
2.4852049000e+03    1.8552024000e-03
2.4839728000e+03    1.0012705000e-03
2.4839111000e+03    5.4770950000e-04
2.4824302000e+03    1.9555640000e-04
2.4817038000e+03    1.1658600000e-05
2.4805759000e+03    4.6123170000e-04
2.4787272000e+03    2.2296850000e-04
2.4777073000e+03    1.3930000000e-07
2.4774878000e+03    2.3131350000e-04
2.4766126000e+03    4.4193470000e-04
2.4745582000e+03    7.3120800000e-05
2.4709239000e+03    1.3955014000e-03
2.4699602000e+03    5.1138000000e-06
2.4683539000e+03    1.7334410000e-04
2.3177018000e+03    9.0086787000e-02
2.3176949000e+03    8.9787971500e-02
2.3176883000e+03    8.9977032200e-02
2.2676693000e+03    4.2470000000e-07
2.2211208000e+03    0.0000000000e+00
2.2203590000e+03    0.0000000000e+00
2.2203576000e+03    0.0000000000e+00
2.2202537000e+03    0.0000000000e+00
2.2202386000e+03    0.0000000000e+00
2.2202371000e+03    0.0000000000e+00
2.2195850000e+03    3.0000000000e-10
2.2191376000e+03    1.0000000000e-10
2.2182931000e+03    0.0000000000e+00
1.9769388000e+03    0.0000000000e+00
1.9757919000e+03    0.0000000000e+00
1.9757905000e+03    0.0000000000e+00
