# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 59 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4894046000e+03    2.7840808900e-02
2.4892226000e+03    2.1351000000e-06
2.4891968000e+03    3.2177725000e-03
2.4889424000e+03    3.6138420000e-04
2.4886759000e+03    6.9584700000e-05
2.4886363000e+03    1.4178000000e-06
2.4885829000e+03    3.8741040000e-04
2.4882865000e+03    3.9188748000e-03
2.4881702000e+03    1.6110100000e-05
2.4878941000e+03    1.7346530000e-04
2.4872966000e+03    3.5369500000e-05
2.4871406000e+03    2.2202121000e-03
2.4870939000e+03    1.2211551000e-03
2.4867265000e+03    1.0415180000e-04
2.4864021000e+03    5.6728790000e-04
2.4862414000e+03    6.6548501000e-03
2.4860073000e+03    6.0589501000e-03
2.4859147000e+03    1.5616659100e-02
2.4858065000e+03    1.9236781900e-02
2.4854455000e+03    1.0267621000e-02
2.4851968000e+03    1.4297733000e-03
2.4848151000e+03    1.0763728900e-02
2.4846451000e+03    4.1931403000e-03
2.4843184000e+03    2.7695669600e-02
2.4841748000e+03    5.6880489000e-03
2.4835050000e+03    1.5038419800e-02
2.4830626000e+03    1.9161694300e-02
2.4828887000e+03    3.6070958000e-03
2.4823859000e+03    6.3038341000e-03
2.4820365000e+03    1.3369940000e-04
2.4813043000e+03    4.4386030000e-04
2.4803247000e+03    1.4586960000e-04
2.4797037000e+03    3.7077860000e-04
2.4794820000e+03    9.2447350000e-04
2.4786037000e+03    8.3555150000e-04
2.4775222000e+03    1.6603632000e-03
2.4765907000e+03    1.3341363000e-03
2.4759057000e+03    1.7319552000e-03
2.4751184000e+03    1.6900483000e-03
2.4742191000e+03    1.5506152000e-03
2.4734883000e+03    4.1989755000e-03
2.4727410000e+03    1.4635974000e-03
2.4679195000e+03    8.2903345000e-03
2.3172197000e+03    1.1418743388e+00
2.3171538000e+03    9.8978440530e-01
2.3171359000e+03    1.3012139948e+00
2.2670504000e+03    4.6062500000e-05
2.2207352000e+03    0.0000000000e+00
2.2203349000e+03    0.0000000000e+00
2.2201602000e+03    0.0000000000e+00
2.2198314000e+03    0.0000000000e+00
2.2194151000e+03    0.0000000000e+00
2.2187687000e+03    0.0000000000e+00
2.2182959000e+03    0.0000000000e+00
2.2176654000e+03    0.0000000000e+00
2.2165831000e+03    0.0000000000e+00
2.2165289000e+03    5.0000000000e-10
2.2163511000e+03    1.0000000000e-10
1.9737511000e+03    2.0000000000e-10
