# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4202098000e+03    2.3170122000e-03
2.4205448000e+03    3.6510341000e-03
2.4226049000e+03    2.0322000000e-06
2.4228124000e+03    1.1213730000e-04
2.4230271000e+03    1.2548457000e-03
2.4240305000e+03    9.7283000000e-06
2.4241962000e+03    3.7700700000e-05
2.4245962000e+03    2.0615520000e-04
2.4251488000e+03    2.0765650000e-04
2.4258953000e+03    7.7303500000e-05
2.4262662000e+03    4.6763500000e-05
2.4267600000e+03    2.2317800000e-04
2.4273051000e+03    2.7918115000e-03
2.4275090000e+03    2.9496286000e-03
2.4281055000e+03    2.1993513000e-03
2.4285383000e+03    1.8132693000e-03
2.4288343000e+03    1.5074586000e-03
2.4296829000e+03    5.3875350000e-04
2.4298543000e+03    1.1957700000e-05
2.4301596000e+03    8.5412350000e-04
2.4304397000e+03    7.8112670000e-04
2.4306990000e+03    3.1351010000e-04
2.4311264000e+03    1.2402860000e-04
2.4320847000e+03    1.5943800000e-04
2.4328817000e+03    1.6322800000e-05
2.4335169000e+03    5.2207100000e-05
2.4338102000e+03    9.4094900000e-05
2.4339714000e+03    1.3580900000e-05
2.4342624000e+03    1.6190280000e-04
2.4344915000e+03    2.1547100000e-05
2.4349909000e+03    4.8157800000e-05
2.4354884000e+03    7.6970900000e-05
2.4361508000e+03    3.7236100000e-05
2.4366983000e+03    3.2168300000e-05
2.4370437000e+03    3.6632160000e-04
2.4373887000e+03    2.2766040000e-04
2.4376500000e+03    1.1241260000e-04
2.4376654000e+03    1.1278040000e-04
2.4387731000e+03    1.5224640000e-04
2.4390419000e+03    5.3366900000e-05
2.4394438000e+03    1.0739400000e-04
2.4397172000e+03    4.8685340000e-04
2.4398640000e+03    4.1528340000e-04
2.4399691000e+03    3.4176240000e-04
2.4404687000e+03    1.7448310000e-04
2.4415898000e+03    1.3693780000e-04
2.4421042000e+03    9.1057060000e-04
2.4425287000e+03    5.3777100000e-05
2.4428557000e+03    3.5068140000e-04
2.4433965000e+03    9.8173000000e-06
