# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4220852000e+03    4.8024461000e-03
2.4225469000e+03    3.3271471000e-03
2.4241656000e+03    1.2130742000e-03
2.4242882000e+03    1.2562495000e-03
2.4245262000e+03    9.5979000000e-06
2.4250038000e+03    1.1159190000e-04
2.4252945000e+03    1.9080850000e-04
2.4255057000e+03    1.1565910000e-04
2.4255959000e+03    2.6344680000e-04
2.4257431000e+03    3.9354800000e-05
2.4258685000e+03    7.8976400000e-05
2.4260774000e+03    1.8888910000e-04
2.4262095000e+03    1.4167210000e-04
2.4264895000e+03    3.3994000000e-05
2.4267155000e+03    1.4785010000e-04
2.4270900000e+03    2.5452300000e-05
2.4272302000e+03    1.4319800000e-04
2.4273397000e+03    7.9901780000e-04
2.4276041000e+03    4.6634390000e-04
2.4277918000e+03    3.7546800000e-05
2.4280099000e+03    8.1765500000e-05
2.4280458000e+03    1.7671280000e-04
2.4284317000e+03    4.3757170000e-04
2.4285867000e+03    1.4083200000e-04
2.4286977000e+03    1.2419093000e-03
2.4289025000e+03    2.2252450000e-04
2.4292893000e+03    8.2656040000e-04
2.4293788000e+03    4.5057570000e-04
2.4298576000e+03    2.4573860000e-04
2.4303641000e+03    7.6162100000e-05
2.4304708000e+03    1.1235790000e-03
2.4305579000e+03    2.4454320000e-04
2.4308549000e+03    1.7905300000e-04
2.4312626000e+03    1.3461900000e-04
2.4315736000e+03    7.5291930000e-04
2.4316933000e+03    1.4721530000e-04
2.4319786000e+03    1.0372685000e-03
2.4320121000e+03    5.2419620000e-04
2.4324174000e+03    2.0989530000e-04
2.4326478000e+03    6.0100450000e-04
2.4327925000e+03    2.7590960000e-04
2.4329027000e+03    1.8601700000e-05
2.4337091000e+03    1.8994360000e-04
2.4337739000e+03    2.7886600000e-04
2.4339942000e+03    1.0030670000e-04
2.4342894000e+03    2.9073470000e-04
2.4343209000e+03    1.9195640000e-04
2.4349948000e+03    4.6299600000e-05
2.4351147000e+03    1.0194930000e-04
2.4352832000e+03    2.8910150000e-04
