# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4239306000e+03    2.5447257300e-02
2.4249331000e+03    1.4932090000e-03
2.4256791000e+03    5.0344034200e-02
2.4259283000e+03    5.4753258900e-02
2.4260671000e+03    1.5450925000e-02
2.4262486000e+03    5.1994402900e-02
2.4264386000e+03    2.6425164500e-02
2.4267972000e+03    6.9777732900e-02
2.4271298000e+03    3.6633540000e-04
2.4272465000e+03    5.1751743000e-03
2.4274924000e+03    6.4955534000e-03
2.4277106000e+03    4.4539296000e-03
2.4279362000e+03    4.5131874000e-03
2.4283757000e+03    1.3135856000e-03
2.4286100000e+03    1.7872019000e-03
2.4287289000e+03    3.7126716000e-03
2.4292255000e+03    6.3124140000e-04
2.4293636000e+03    3.0578090000e-03
2.4294073000e+03    9.8793615000e-03
2.4296094000e+03    1.5462198000e-03
2.4299091000e+03    2.5788393000e-03
2.4299880000e+03    8.0159001000e-03
2.4305205000e+03    3.5127957000e-03
2.4308237000e+03    7.7455914000e-03
2.4312049000e+03    2.9366494000e-03
2.4317172000e+03    3.6858511000e-03
2.4318056000e+03    1.4330381400e-02
2.4319553000e+03    5.1526420000e-04
2.4322966000e+03    1.9895033500e-02
2.4326497000e+03    2.0941614800e-02
2.4328495000e+03    4.1928793000e-03
2.4330516000e+03    3.1244780000e-03
2.4330696000e+03    3.2780727000e-03
2.4331599000e+03    9.8542390000e-03
2.4336061000e+03    2.2049917000e-03
2.4338790000e+03    1.2833779900e-02
2.4340154000e+03    1.0042126200e-02
2.4344311000e+03    1.6677800000e-05
2.4348758000e+03    3.1090567100e-02
2.4350171000e+03    5.7068770000e-04
2.4353622000e+03    7.4825278000e-03
2.4355471000e+03    1.2773096600e-02
2.4357396000e+03    2.1320770000e-04
2.4363444000e+03    9.1550200000e-05
2.4364403000e+03    2.6191952000e-03
2.4368673000e+03    1.3601573000e-03
2.4369853000e+03    6.1703656000e-03
2.4371742000e+03    6.2999709000e-03
2.4375627000e+03    2.8193767000e-03
2.4377950000e+03    1.6127723400e-02
