# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 59 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4872638000e+03    3.6116680000e-04
2.4868509000e+03    1.3501692000e-03
2.4865540000e+03    2.5635132000e-03
2.4863542000e+03    1.3378324000e-03
2.4861854000e+03    7.9009020000e-04
2.4854786000e+03    4.0588430000e-04
2.4851117000e+03    9.4767000000e-04
2.4842584000e+03    8.6953820000e-04
2.4841671000e+03    2.9884634000e-03
2.4835381000e+03    4.9389610000e-04
2.4833110000e+03    2.3613950000e-04
2.4830619000e+03    1.2927525000e-03
2.4823591000e+03    7.5316000000e-05
2.4822282000e+03    5.3158110000e-04
2.4819628000e+03    7.5970700000e-05
2.4816714000e+03    8.9495400000e-05
2.4813305000e+03    1.1072000000e-05
2.4810217000e+03    4.3255600000e-05
2.4805212000e+03    4.3126600000e-05
2.4802060000e+03    3.8988500000e-04
2.4801040000e+03    3.6707200000e-05
2.4798791000e+03    1.5222140000e-04
2.4792405000e+03    3.6927700000e-05
2.4791354000e+03    1.3274060000e-04
2.4786035000e+03    1.1446350000e-04
2.4781876000e+03    2.8088400000e-05
2.4778437000e+03    4.2384800000e-05
2.4765302000e+03    2.0536040000e-04
2.4763592000e+03    6.9825300000e-05
2.4755020000e+03    6.1558900000e-05
2.4747419000e+03    1.5841800000e-05
2.4737774000e+03    3.5302300000e-05
2.4721291000e+03    4.1817100000e-05
2.4711471000e+03    9.3455300000e-05
2.4708739000e+03    9.7595500000e-05
2.4692643000e+03    1.0312100000e-05
2.4670898000e+03    6.2170000000e-06
2.4665430000e+03    4.1080000000e-06
2.4646773000e+03    4.1750000000e-07
2.4645145000e+03    1.3324000000e-06
2.4629747000e+03    1.1090700000e-05
2.3168525000e+03    8.8929350200e-02
2.3167640000e+03    8.9415500400e-02
2.3167346000e+03    8.9451998900e-02
2.2666469000e+03    5.0790000000e-07
2.2152043000e+03    0.0000000000e+00
2.2138757000e+03    0.0000000000e+00
2.2135285000e+03    0.0000000000e+00
2.2132324000e+03    0.0000000000e+00
2.2130768000e+03    0.0000000000e+00
2.2124615000e+03    0.0000000000e+00
2.2122857000e+03    1.0000000000e-10
2.2118634000e+03    1.0000000000e-10
2.1031162000e+03    0.0000000000e+00
2.1020284000e+03    0.0000000000e+00
2.1006026000e+03    0.0000000000e+00
1.9726149000e+03    0.0000000000e+00
1.9709097000e+03    0.0000000000e+00
1.9694357000e+03    0.0000000000e+00
