# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4183990000e+03    1.7425367000e-03
2.4198068000e+03    1.0000000000e-10
2.4198817000e+03    1.6868428000e-03
2.4205925000e+03    1.4802311000e-03
2.4211142000e+03    4.0988330000e-04
2.4216076000e+03    2.5672000000e-06
2.4219801000e+03    2.8188920000e-04
2.4231353000e+03    1.8840000000e-06
2.4239122000e+03    1.4592680000e-04
2.4242601000e+03    1.0478145000e-03
2.4256466000e+03    9.6220330000e-04
2.4259933000e+03    4.7567577000e-03
2.4263305000e+03    4.5516230000e-04
2.4263440000e+03    7.6433280000e-04
2.4267203000e+03    4.6780000000e-07
2.4267729000e+03    4.4265150000e-03
2.4272807000e+03    1.4404078000e-03
2.4286409000e+03    2.0867430000e-04
2.4287289000e+03    1.1264720000e-04
2.4287904000e+03    1.3117800000e-04
2.4297596000e+03    1.2801760000e-04
2.4299416000e+03    5.5493400000e-04
2.4300120000e+03    9.8493600000e-05
2.4303703000e+03    9.5961000000e-06
2.4317745000e+03    1.5019930000e-04
2.4324077000e+03    7.9000000000e-09
2.4332938000e+03    1.1134570000e-04
2.4341010000e+03    4.6660000000e-07
2.4352360000e+03    2.6392200000e-05
2.4358749000e+03    8.9398000000e-06
2.4360354000e+03    3.9720770000e-04
2.4369761000e+03    7.9800000000e-08
2.4369991000e+03    3.2660000000e-07
2.4379052000e+03    5.4023150000e-04
2.4383667000e+03    3.8751800000e-05
2.4387412000e+03    8.6709540000e-04
2.4394931000e+03    1.3831831000e-03
2.4398239000e+03    5.9175000000e-06
2.4408764000e+03    1.2984920000e-04
2.4432332000e+03    6.6725950000e-04
2.4434312000e+03    4.4993200000e-05
2.4447394000e+03    7.7459830000e-04
2.4459381000e+03    1.0064000000e-06
2.4471505000e+03    6.6480000000e-07
2.4478194000e+03    4.5322250000e-04
2.4482500000e+03    3.3420090000e-04
2.4485667000e+03    1.8718000000e-05
2.4488147000e+03    1.1585500000e-05
2.4491030000e+03    5.8261000000e-06
2.4491365000e+03    7.7971830000e-04
