# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4198359000e+03    4.1462541000e-03
2.4207657000e+03    4.1800100000e-04
2.4210308000e+03    2.2554000000e-05
2.4212674000e+03    1.9014309000e-03
2.4231184000e+03    1.2368020000e-04
2.4233794000e+03    7.5281600000e-05
2.4240089000e+03    3.9086560000e-04
2.4242099000e+03    2.1443320000e-04
2.4243568000e+03    1.0720960000e-04
2.4245867000e+03    2.6143400000e-05
2.4247143000e+03    3.2052510000e-04
2.4249791000e+03    5.2465900000e-05
2.4250570000e+03    3.8441200000e-05
2.4255956000e+03    1.6615890000e-04
2.4258022000e+03    1.6522649000e-03
2.4261187000e+03    1.3043000000e-05
2.4262752000e+03    1.3258190000e-04
2.4263572000e+03    8.7973530000e-04
2.4265377000e+03    5.9539080000e-04
2.4267494000e+03    8.9563500000e-05
2.4271842000e+03    1.1755460000e-03
2.4275579000e+03    3.5852598000e-03
2.4279196000e+03    1.3426983000e-03
2.4283046000e+03    1.0634140000e-04
2.4287959000e+03    1.9335620000e-04
2.4292990000e+03    1.1692520000e-04
2.4294245000e+03    9.3729200000e-05
2.4294698000e+03    2.1036570000e-04
2.4296403000e+03    6.5182340000e-04
2.4299532000e+03    1.4155800000e-05
2.4300887000e+03    1.7929210000e-04
2.4302431000e+03    3.5094480000e-04
2.4311660000e+03    1.9812410000e-04
2.4314612000e+03    1.8423000000e-06
2.4323023000e+03    1.0962210000e-04
2.4324147000e+03    1.9758624000e-03
2.4327619000e+03    2.8049100000e-05
2.4329096000e+03    3.2211300000e-05
2.4332689000e+03    1.6097700000e-05
2.4335521000e+03    1.7024310000e-04
2.4337369000e+03    6.9744800000e-05
2.4338110000e+03    1.7204300000e-05
2.4347231000e+03    1.1391500000e-05
2.4348571000e+03    6.3513000000e-05
2.4353316000e+03    7.7178200000e-05
2.4357400000e+03    1.4478310000e-04
2.4357780000e+03    3.4408440000e-04
2.4360521000e+03    7.3932350000e-04
2.4366083000e+03    9.4519000000e-06
2.4367669000e+03    5.3831800000e-05
